row,customer_id,name,matched_master_id,match_status,match_rule
174,C01050,Aradhana Hari,C01050,conflicting,customer_id
175,,Yoshita Bajaj,,incomplete_match,no_candidate
176,C01955,Tanvi Kuruvilla,C01955,partial_match,customer_id
177,,chaaya verma,C00592,partial_match,email
178,,,,incomplete_match,no_candidate
179,C01136,Balvan Ratta,C01136,complete_match,customer_id
180,C00270,Irya Misra,C00270,complete_match,customer_id
181,C01182,Shravya Soman,C01182,complete_match,customer_id
182,N00211,Joshua Nanda,,new_entity,no_candidate
183,C00982,Wishi Upadhyay,C00982,partial_match,customer_id
184,N00378,Urvashi Desai,,new_entity,no_candidate
185,,,C02007,partial_match,email
186,C01193,Dakshesh Minhas,C01193,partial_match,customer_id
187,N00352,Leela Nayak,,new_entity,no_candidate
188,C02997,Charita Sachar,C02997,complete_match,customer_id
189,,OLIVER SANGHVI,C00903,partial_match,phone
190,C02913,Abhimanyu Dube,C02913,partial_match,customer_id
191,,Tejas Mani,C02755,partial_match,name_city
192,,Gabriel Kala,,incomplete_match,no_candidate
193,C00614,Yatin Bala,C00614,partial_match,customer_id
194,C01327,Neha Bhalla,C01327,partial_match,customer_id
195,C02769,Siya Chawla,C02769,complete_match,customer_id
196,C01701,Yochana Anand,C01701,partial_match,customer_id
197,C02033,Omaja Dubey,C02033,partial_match,customer_id
198,N00082,Chatura Chowdhury,,new_entity,no_candidate
199,N00230,Niharika Toor,,new_entity,no_candidate
200,,,,incomplete_match,no_candidate
201,C02226,Aarav Gopal,C02226,partial_match,customer_id
202,C00526,Nirja Manne,C00526,partial_match,customer_id
203,,,C02491,partial_match,email
204,C02606,Ishani Chakraborty,C02606,complete_match,customer_id
205,C01937,Tanmayi Gokhale,C01937,partial_match,customer_id
206,C00598,Hiral Bahl,C00598,complete_match,customer_id
207,C01641,Rayaan Lala,C01641,complete_match,customer_id
208,N00050,Gaurang Pai,,new_entity,no_candidate
209,C02814,Orinder Choudhry,C02814,conflicting,customer_id
210,,neha kanda,C00076,partial_match,email
211,,Nitara Saxena,,incomplete_match,no_candidate
212,C02309,Daniel Varma,C02309,partial_match,customer_id
213,N00376,Bachittar Cherian,,new_entity,no_candidate
214,C00597,Samesh D’Alia,C00597,complete_match,customer_id
215,N00288,Balvan Randhawa,,new_entity,no_candidate
216,C01016,Urvashi Raval,C01016,conflicting,customer_id
217,,Hemal Boase,,incomplete_match,no_candidate
218,N00388,Sudiksha Kurian,,new_entity,no_candidate
219,C00517,Jack Dyal,C00517,partial_match,customer_id
220,,idika behl,C00296,partial_match,email
221,C00181,Eshana Bir,C00181,conflicting,customer_id
222,N00203,Yachana Saraf,,new_entity,no_candidate
223,C02408,Rajata Kulkarni,C02408,conflicting,customer_id
224,C01710,Samuel Ray,C01710,partial_match,customer_id
225,N00277,Mugdha Loke,,new_entity,no_candidate
226,N00280,Yatin Kapur,,new_entity,no_candidate
227,C01018,Manya Ray,C01018,complete_match,customer_id
228,C01443,Neha Nagar,C01443,partial_match,customer_id
229,,NATHAN KHARE,C00638,partial_match,phone
230,C00761,Irya Bedi,C00761,partial_match,customer_id
231,N00354,Logan Sidhu,,new_entity,no_candidate
232,N00183,Advaith Tara,,new_entity,no_candidate
233,C01322,Harinakshi Prashad,C01322,partial_match,customer_id
234,N00226,Azaan Kohli,,new_entity,no_candidate
235,C00636,Meghana Sastry,C00636,conflicting,customer_id
236,,Yoshita Buch,,incomplete_match,no_candidate
237,C02202,Yashawini Chokshi,C02202,partial_match,customer_id
238,C00847,Abeer Gill,C00847,partial_match,customer_id
239,,,,incomplete_match,no_candidate
240,N00360,Ayaan Lad,,new_entity,no_candidate
241,,Yoshita Narula,C02589,partial_match,name_city
242,C02651,Radhika Rajagopalan,C02651,conflicting,customer_id
243,C02361,Widisha Yogi,C02361,conflicting,customer_id
244,C00049,Jonathan Kala,C00049,partial_match,customer_id
245,C00112,Arya Dutta,C00112,partial_match,customer_id
246,C02833,Jai Mall,C02833,partial_match,customer_id
247,C00491,Om Mahal,C00491,complete_match,customer_id
248,C00197,Qadim Sura,C00197,conflicting,customer_id
249,C00363,Noah Char,C00363,partial_match,customer_id
250,N00112,Dev Sastry,,new_entity,no_candidate
251,N00317,Chakrika Nagi,,new_entity,no_candidate
252,N00361,Janaki Prabhu,,new_entity,no_candidate
253,C00054,Gaurika Joshi,C00054,partial_match,customer_id
254,C02774,Barkha Sankaran,C02774,conflicting,customer_id
255,N00349,Veda Mani,,new_entity,no_candidate
256,C00562,Yashvi Menon,C00562,partial_match,customer_id
257,C00476,Patrick Zachariah,C00476,conflicting,customer_id
258,,NIRJA PALLA,C02387,partial_match,phone
259,,Mitesh Gulati,,incomplete_match,no_candidate
260,C02520,Vedant Sachdev,C02520,partial_match,customer_id
261,N00217,Ekanta Bhavsar,,new_entity,no_candidate
262,C02244,Karan Sangha,C02244,conflicting,customer_id
263,C01097,Champak Palla,C01097,partial_match,customer_id
264,C00281,Prisha Acharya,C00281,partial_match,customer_id
265,N00129,Laksh Vohra,,new_entity,no_candidate
266,,maanav ray,C00232,partial_match,email
267,C00112,Arya Dutta,C00112,conflicting,customer_id
268,N00191,Michael Nagi,,new_entity,no_candidate
269,,ojasvi doctor,C02823,partial_match,email
270,C02004,Radhika Ghosh,C02004,partial_match,customer_id
271,C01109,Agastya Kade,C01109,complete_match,customer_id
272,,Urmi Varughese,,incomplete_match,no_candidate
273,C02024,Gavin Parmer,C02024,conflicting,customer_id
274,C01981,Eesha Bains,C01981,complete_match,customer_id
275,N00200,Barkha Seth,,new_entity,no_candidate
276,C02777,Mohini Mann,C02777,partial_match,customer_id
277,,,C01881,partial_match,email
278,,Teerth Kanda,C01307,partial_match,name_city
279,N00367,Ranbir Natarajan,,new_entity,no_candidate
280,C00760,Thomas Merchant,C00760,complete_match,customer_id
281,C00508,Amrita Mane,C00508,conflicting,customer_id
282,C00848,Tanvi Palla,C00848,complete_match,customer_id
283,C00233,Siddharth Dyal,C00233,complete_match,customer_id
284,C02666,Omkaar Salvi,C02666,complete_match,customer_id
285,,Laban Sem,,incomplete_match,no_candidate
286,N00061,Teerth Khosla,,new_entity,no_candidate
287,C02868,Nicholas Jaggi,C02868,complete_match,customer_id
288,C00561,Banjeet Ganesh,C00561,complete_match,customer_id
289,C02270,Inaya Ghosh,C02270,conflicting,customer_id
290,C02450,Oni Tak,C02450,complete_match,customer_id
291,C00331,Yochana Wason,C00331,conflicting,customer_id
292,C00144,Riya Tandon,C00144,partial_match,customer_id
293,,Tanvi Balasubramanian,C00148,partial_match,name_city
294,C00364,Zayyan Bandi,C00364,complete_match,customer_id
295,,,,incomplete_match,no_candidate
296,C00071,Qarin Dada,C00071,partial_match,customer_id
297,C01575,Sachi Wason,C01575,complete_match,customer_id
298,C02824,Chasmum Kulkarni,C02824,complete_match,customer_id
299,N00389,Vasana Mukherjee,,new_entity,no_candidate
300,C01209,Jyoti Gola,C01209,conflicting,customer_id
301,C01983,Mason Ganesh,C01983,conflicting,customer_id
302,C02790,Aahana Nagar,C02790,conflicting,customer_id
303,C01226,Jeremiah Narayan,C01226,partial_match,customer_id
304,N00371,Nirja Kothari,,new_entity,no_candidate
305,C02748,Madhav Vora,C02748,partial_match,customer_id
306,C00791,Zehaan Ramaswamy,C00791,partial_match,customer_id
307,C00160,Yashoda Sule,C00160,conflicting,customer_id
308,C02335,Nidra Dua,C02335,conflicting,customer_id
309,,Xalak Sani,C01532,partial_match,name_city
310,C00373,Robert Bhargava,C00373,complete_match,customer_id
311,C02013,Radhika Rau,C02013,complete_match,customer_id
312,N00255,Ranbir Chada,,new_entity,no_candidate
313,N00336,Ojas Sahota,,new_entity,no_candidate
314,C00353,Aarav Kar,C00353,partial_match,customer_id
315,C01964,Yatan Kamdar,C01964,partial_match,customer_id
316,C00923,Bachittar Sheth,C00923,complete_match,customer_id
317,C02912,Umang Gola,C02912,partial_match,customer_id
318,N00212,Krish Dhar,,new_entity,no_candidate
319,C01726,Zilmil Ganguly,C01726,conflicting,customer_id
320,C00498,Tristan Lala,C00498,complete_match,customer_id
321,C01479,Balhaar Garde,C01479,complete_match,customer_id
322,,Om Iyer,C01234,partial_match,name_city
323,C01681,Atharv Mangal,C01681,partial_match,customer_id
324,C00658,Harinakshi Dhar,C00658,partial_match,customer_id
325,C02883,Nakul Kapur,C02883,conflicting,customer_id
326,N00010,Gaurangi Kadakia,,new_entity,no_candidate
327,C01780,Agastya Lala,C01780,partial_match,customer_id
328,C02808,Joshua Kalla,C02808,conflicting,customer_id
329,N00087,Viraj Narang,,new_entity,no_candidate
330,N00347,Xalak Padmanabhan,,new_entity,no_candidate
331,C01243,Veda Sandal,C01243,conflicting,customer_id
332,C01467,Ijaya Goel,C01467,conflicting,customer_id
333,C01084,Kashish Radhakrishnan,C01084,partial_match,customer_id
334,C00037,Omya Seth,C00037,complete_match,customer_id
335,N00092,Jagrati Rama,,new_entity,no_candidate
336,C00194,Simon Minhas,C00194,conflicting,customer_id
337,N00310,Zayyan Raval,,new_entity,no_candidate
338,C01647,Sai Ranganathan,C01647,conflicting,customer_id
339,C01452,Dhruv Datta,C01452,complete_match,customer_id
340,C02854,Xavier Mistry,C02854,partial_match,customer_id
341,,,,incomplete_match,no_candidate
342,C00686,Urmi Borde,C00686,conflicting,customer_id
343,N00118,Jalsa Salvi,,new_entity,no_candidate
344,C01655,Jeevika Natarajan,C01655,partial_match,customer_id
345,N00394,Vinaya Arya,,new_entity,no_candidate
346,C00387,Ijaya Bajwa,C00387,complete_match,customer_id
347,N00227,Yamini Palan,,new_entity,no_candidate
348,,,,incomplete_match,no_candidate
349,C00375,Amaira Bhargava,C00375,conflicting,customer_id
350,,hemangini dhaliwal,C00509,partial_match,email
351,C00773,Bina Raval,C00773,complete_match,customer_id
352,,Naksh Gara,,incomplete_match,no_candidate
353,C01792,Kamala Apte,C01792,conflicting,customer_id
354,C00929,Widisha Ramaswamy,C00929,complete_match,customer_id
355,,,,incomplete_match,no_candidate
356,C02804,Daniel Rastogi,C02804,partial_match,customer_id
357,C00491,Om Mahal,C00491,partial_match,customer_id
358,C00893,Harinakshi Oommen,C00893,complete_match,customer_id
359,C00042,Matthew Gokhale,C00042,complete_match,customer_id
360,C01851,Anusha Padmanabhan,C01851,partial_match,customer_id
361,C00567,Nikita Gopal,C00567,complete_match,customer_id
362,,Warinder Nori,,incomplete_match,no_candidate
363,C01018,Benjamin Gera,C01018,conflicting,customer_id
364,C01163,Chandresh Rajagopalan,C01163,partial_match,customer_id
365,N00342,Teerth Agarwal,,new_entity,no_candidate
366,,Siya Kaur,C00958,partial_match,name_city
367,C01886,Oeshi Thakur,C01886,partial_match,customer_id
368,C01478,Kala Hans,C01478,partial_match,customer_id
369,C02100,Aarav Arya,C02100,partial_match,customer_id
370,N00151,Hredhaan Sachdeva,,new_entity,no_candidate
371,C01526,Champak Bir,C01526,complete_match,customer_id
372,N00149,Yashvi Koshy,,new_entity,no_candidate
373,C02053,Tanvi Edwin,C02053,conflicting,customer_id
374,C01764,Warda Jaggi,C01764,partial_match,customer_id
375,C02257,Isaac Palla,C02257,complete_match,customer_id
376,N00145,Nitesh Pandya,,new_entity,no_candidate
377,C01509,Aayush Cherian,C01509,conflicting,customer_id
378,C00661,Maanav Deol,C00661,complete_match,customer_id
379,C00512,Priya Char,C00512,conflicting,customer_id
380,C00015,Mahika Kamdar,C00015,conflicting,customer_id
381,C02236,Yashvi Doctor,C02236,partial_match,customer_id
382,,Arya Mohanty,,incomplete_match,no_candidate
383,C01421,Patrick Parsa,C01421,partial_match,customer_id
384,N00109,Ladli Sawhney,,new_entity,no_candidate
385,N00251,Farhan Saha,,new_entity,no_candidate
386,C01733,Libni Batra,C01733,partial_match,customer_id
387,C02598,Girik Lad,C02598,partial_match,customer_id
388,N00094,Vivaan Cherian,,new_entity,no_candidate
389,,Sachi Thakkar,,incomplete_match,no_candidate
390,,DIPTA DE,C01576,partial_match,phone
391,N00063,Sara Bail,,new_entity,no_candidate
392,N00113,Ansh Varty,,new_entity,no_candidate
393,N00039,Elijah Warrior,,new_entity,no_candidate
394,C01104,Nandini Guha,C01104,partial_match,customer_id
395,C00856,Vedhika Subramanian,C00856,conflicting,customer_id
396,,MANAN RAU,C00007,partial_match,phone
397,C00357,Tarak Subramaniam,C00357,partial_match,customer_id
398,,Amaira Behl,,incomplete_match,no_candidate
399,C01565,Rudra Vaidya,C01565,conflicting,customer_id
400,N00272,Harshil Sinha,,new_entity,no_candidate
401,C00561,Ekiya Bajwa,C00561,conflicting,customer_id
402,N00328,Pooja Agrawal,,new_entity,no_candidate
403,C01807,Ishwar Vig,C01807,partial_match,customer_id
404,,Aarush Raval,C02397,partial_match,name_city
405,C00610,Rohan Bala,C00610,partial_match,customer_id
406,C02982,Chakradev Iyengar,C02982,conflicting,customer_id
407,C00712,Parth Pandit,C00712,conflicting,customer_id
408,C00569,Forum Virk,C00569,conflicting,customer_id
409,C01116,Ekanta Bassi,C01116,partial_match,customer_id
410,C00267,Krish Mani,C00267,conflicting,customer_id
411,C01536,Aachal Bhandari,C01536,conflicting,customer_id
412,C01552,Turvi Garg,C01552,conflicting,customer_id
413,N00072,Ryan Chandra,,new_entity,no_candidate
414,C02812,Gaurika Rajagopalan,C02812,partial_match,customer_id
415,C02026,Atharv Dugar,C02026,partial_match,customer_id
416,C01804,Anya Agarwal,C01804,conflicting,customer_id
417,N00190,Victor Bhatti,,new_entity,no_candidate
418,C01735,Charles Butala,C01735,partial_match,customer_id
419,N00300,Mohammed Kibe,,new_entity,no_candidate
420,C02867,Isaiah Tripathi,C02867,partial_match,customer_id
421,N00162,Balvan Tank,,new_entity,no_candidate
422,C02415,Max Sangha,C02415,complete_match,customer_id
423,C01750,Vritti Kaul,C01750,partial_match,customer_id
424,C00742,Barkha Dasgupta,C00742,complete_match,customer_id
425,C02299,Yatin Kar,C02299,conflicting,customer_id
426,,Ikshita Narayan,C02307,partial_match,name_city
427,C01486,Nidra Pant,C01486,partial_match,customer_id
428,C00733,Vasana Agarwal,C00733,complete_match,customer_id
429,C01972,Chameli Mishra,C01972,conflicting,customer_id
430,C02775,Vanya Menon,C02775,partial_match,customer_id
431,,,C00366,partial_match,email
432,C01373,Ishani Aggarwal,C01373,conflicting,customer_id
433,,Ishanvi Venkataraman,C02987,partial_match,name_city
434,,Kabir Mani,,incomplete_match,no_candidate
435,C02361,Widisha Yogi,C02361,partial_match,customer_id
436,C02634,Eiravati Prabhakar,C02634,complete_match,customer_id
437,C00803,Agastya Nagarajan,C00803,complete_match,customer_id
438,C00002,Yashica Venkataraman,C00002,complete_match,customer_id
439,C01076,Upadhriti Atwal,C01076,partial_match,customer_id
440,N00168,Amruta Parmar,,new_entity,no_candidate
441,N00055,Indira Nair,,new_entity,no_candidate
442,N00278,Devika Narula,,new_entity,no_candidate
443,C00635,Jyoti Kota,C00635,complete_match,customer_id
444,C02659,Ekanta Aggarwal,C02659,conflicting,customer_id
445,C01957,Tristan Mall,C01957,partial_match,customer_id
446,N00385,Matthew Raju,,new_entity,no_candidate
447,C00773,Bina Raval,C00773,partial_match,customer_id
448,C02362,Finn Gara,C02362,partial_match,customer_id
449,C01830,Nathan Prabhakar,C01830,partial_match,customer_id
450,C01061,Zilmil Rao,C01061,conflicting,customer_id
451,C00123,Yatin Patla,C00123,partial_match,customer_id
452,C02026,Atharv Dugar,C02026,complete_match,customer_id
453,,Aarush Subramaniam,,incomplete_match,no_candidate
454,C01518,Brijesh Sachdev,C01518,conflicting,customer_id
455,N00216,Upadhriti Vaidya,,new_entity,no_candidate
456,C02876,Gautami Krishna,C02876,partial_match,customer_id
457,C02341,Ganga Sura,C02341,partial_match,customer_id
458,C01431,Lavanya Virk,C01431,complete_match,customer_id
459,,,,incomplete_match,no_candidate
460,,Ekantika Bali,C02628,partial_match,name_city
461,C01168,Osha Korpal,C01168,partial_match,customer_id
462,C00106,Dakshesh Prabhakar,C00106,complete_match,customer_id
463,C02061,Rachana Panchal,C02061,partial_match,customer_id
464,,faraj dyal,C00755,partial_match,email
465,C00813,Oviya Saini,C00813,conflicting,customer_id
466,N00131,Amara Grover,,new_entity,no_candidate
467,C00312,Anthony Mahal,C00312,conflicting,customer_id
468,C01887,Arjun Munshi,C01887,complete_match,customer_id
469,C01317,Daksha Grover,C01317,complete_match,customer_id
470,C00400,Madhavi Agate,C00400,partial_match,customer_id
471,,Yasti Dhaliwal,,incomplete_match,no_candidate
472,,Turvi Rau,C02193,partial_match,name_city
473,C02204,Charvi Rai,C02204,complete_match,customer_id
474,C00335,Idika Pillay,C00335,complete_match,customer_id
475,,Bhavini Kaul,C01065,partial_match,name_city
476,N00380,Charan Karnik,,new_entity,no_candidate
477,C02087,Kabir Tank,C02087,complete_match,customer_id
478,,,,incomplete_match,no_candidate
479,,GAGAN SURA,C02465,partial_match,phone
480,C01507,Prisha Menon,C01507,partial_match,customer_id
481,,chandresh saha,C01970,partial_match,email
482,,Warhi Sen,,incomplete_match,no_candidate
483,C02835,George Mittal,C02835,complete_match,customer_id
484,N00308,Tripti Ramaswamy,,new_entity,no_candidate
485,N00219,Qushi Lanka,,new_entity,no_candidate
486,C00521,Ansh Prabhakar,C00521,partial_match,customer_id
487,C02994,Arya Pandya,C02994,partial_match,customer_id
488,,Azaan More,C00152,partial_match,name_city
489,N00350,Kala Sandal,,new_entity,no_candidate
490,N00359,Vyanjana Sekhon,,new_entity,no_candidate
491,C01800,Eta Kaul,C01800,partial_match,customer_id
492,C00824,Aarna Oak,C00824,complete_match,customer_id
493,N00324,Dhriti De,,new_entity,no_candidate
494,,Thomas Gokhale,C01885,partial_match,name_city
495,C02989,Lila Om,C02989,conflicting,customer_id
496,C02315,Jai Sarraf,C02315,complete_match,customer_id
497,C00191,Bahadurjit Khurana,C00191,partial_match,customer_id
498,,Tanmayi Nadkarni,C02039,partial_match,name_city
499,C02494,Jagdish Sahota,C02494,partial_match,customer_id
500,C01768,Dalaja Sawhney,C01768,complete_match,customer_id
501,C00220,Nathaniel Din,C00220,conflicting,customer_id
502,,,,incomplete_match,no_candidate
503,C02218,Faqid Baria,C02218,conflicting,customer_id
504,N00185,Abhimanyu Kapur,,new_entity,no_candidate
505,C02517,Zilmil Raja,C02517,complete_match,customer_id
506,C02448,Ati Taneja,C02448,complete_match,customer_id
507,N00344,Arjun Sahota,,new_entity,no_candidate
508,,tejas patla,C02888,partial_match,email
509,C00604,Arjun Rajan,C00604,partial_match,customer_id
